ciudad,codigo_dominio,anio,meses_incluidos,bloque_indicador,nombre_indicador,valor,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,fuente,observacion
Armenia,63,2024,Ene-Dic (12 meses),servicios_publicos,Hogares sin energia electrica,0.03,0.0181,0.0065,0.0746,0.8507,8818,53.2553,NO PUBLICAR,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),servicios_publicos,Hogares sin gas natural conectado a red,7.75,0.3127,7.2211,8.3924,1.2065,8818,4.0359,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),servicios_publicos,Hogares sin recoleccion de basuras,0.01,0.0065,0.0000,0.0228,0.5827,8818,101.1599,NO PUBLICAR,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,Tenencia: En arriendo o subarriendo,50.89,0.5184,49.9349,51.9860,0.9481,4434,1.0187,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,Tenencia: En usufructo,8.77,0.3009,8.2610,9.3785,0.9971,826,3.4287,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,Tenencia: Otra,0.04,0.0252,0.0000,0.0983,1.3931,3,62.6970,NO PUBLICAR,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,Tenencia: Posesion sin titulo,2.07,0.1709,1.7551,2.4146,1.2692,169,8.2449,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,"Tenencia: Propia, la estan pagando",5.87,0.2679,5.3618,6.3777,1.1444,485,4.5605,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,"Tenencia: Propia, totalmente pagada",29.68,0.5165,28.5985,30.5992,1.1268,2650,1.7398,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,Tenencia: Propiedad colectiva,2.67,0.1699,2.3655,3.0164,0.9803,251,6.3679,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),tenencia,Tenencia: suma de categorias (control),100.0,,,,,8818,,NO_APLICA,"GEIH 2024 (DANE, catalogo ANDA 819)",Control de auditoria: debe ser 100% +/-0.1pp
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - P25,500000.0,,,,,4054,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",69 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - P75,850000.0,,,,,4054,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",69 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - mediana,600000.0,0.0000,600000.0000,600000.0000,0.0000,4054,0.0000,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",69 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - promedio,767064.37,8641.1925,752968.0801,785527.1784,1.2727,4054,1.1265,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",69 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - P25,383723.49,,,,,461,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",2 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - P75,1056735.11,,,,,461,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",2 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - mediana,600000.0,27520.4592,550000.0000,670000.0000,0.8336,461,4.5867,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",2 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - promedio,815068.87,35307.9080,749455.7764,886379.9873,1.3722,461,4.3319,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",2 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - P25,110000000.0,,,,,2075,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",23 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - P75,230000000.0,,,,,2075,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",23 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - mediana,150000000.0,3680973.0094,150000000.0000,160000000.0000,1.4411,2075,2.4540,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",23 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - promedio,192170949.27,3319039.2539,186289405.2759,199209511.5777,1.1717,2075,1.7271,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",23 registro(s) excluidos por valor extremo
Armenia,63,2025,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - P25,480000.0,,,,,4634,,ACEPTABLE,"GEIH 2025 (DANE, catalogo ANDA 853)",22 registro(s) excluidos por valor extremo
Armenia,63,2025,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - P75,770000.0,,,,,4634,,ACEPTABLE,"GEIH 2025 (DANE, catalogo ANDA 853)",22 registro(s) excluidos por valor extremo
Armenia,63,2025,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - mediana,600000.0,0.0000,600000.0000,600000.0000,0.0000,4634,0.0000,EXCELENTE,"GEIH 2025 (DANE, catalogo ANDA 853)",22 registro(s) excluidos por valor extremo
Armenia,63,2025,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - promedio,679511.94,5799.0188,667572.6536,690766.6784,1.1897,4634,0.8534,EXCELENTE,"GEIH 2025 (DANE, catalogo ANDA 853)",22 registro(s) excluidos por valor extremo
Armenia,63,2025,Ene-Dic (12 meses),deficit_habitacional,Deficit habitacional cualitativo,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2025,Ene-Dic (12 meses),deficit_habitacional,Deficit habitacional cuantitativo,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2025,Ene-Dic (12 meses),deficit_habitacional,Distribucion por estrato socioeconomico,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2025,Ene-Dic (12 meses),esfuerzo_financiero,Arrendatarios que destinan >30% del ingreso al arriendo,39.16,,,,,4617,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",sobrecarga (>30%)
