tipo_prueba,ciudad_nombre,anio,indicador,resultado,evidencia
SENSIBILIDAD_OUTLIERS,Pasto,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Villavicencio,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Montería,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cartagena,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Neiva,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Armenia,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
