ciudad,anio,indicador,valor_pct,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,nota
Pereira A.M.,2025,Componente: lugar inadecuado para cocinar,0.7731,0.3159,0.154,1.3923,0.887,793,40.86,NO PUBLICAR,
Pereira A.M.,2025,Componente: sin recoleccion de basuras,0.4027,0.4041,0.0,1.1948,2.778,793,100.37,NO PUBLICAR,
Pereira A.M.,2025,Paredes en material inadecuado,0.3729,0.2759,0.0,0.9136,1.398,793,73.98,NO PUBLICAR,
Pereira A.M.,2025,"Pisos de tierra, arena o barro",0.0841,0.0844,0.0,0.2495,0.578,793,100.37,NO PUBLICAR,
Pereira A.M.,2025,Hogares en estrato 1 o 2,46.4868,5.6932,35.3281,57.6454,8.889,793,12.25,ACEPTABLE,
Pereira A.M.,2025,Hogares en estrato 3,33.3953,4.978,23.6385,43.1521,7.6,793,14.91,ACEPTABLE,
Pereira A.M.,2025,"Hogares en estrato 4, 5 o 6",19.2405,4.0566,11.2896,27.1914,7.225,793,21.08,PRECAUCION,
Pereira A.M.,2025,Hogares sin estrato o no informa,0.8774,0.8806,0.0,2.6034,6.083,793,100.37,NO PUBLICAR,
Cúcuta A.M.,2025,Deficit habitacional total,24.4238,3.28,17.995,30.8526,4.164,807,13.43,ACEPTABLE,
Cúcuta A.M.,2025,Deficit habitacional cuantitativo,8.9157,2.2511,4.5035,13.3278,4.458,807,25.25,NO PUBLICAR,
Cúcuta A.M.,2025,Deficit habitacional cualitativo,15.5082,2.0524,11.4856,19.5308,2.297,807,13.23,ACEPTABLE,
Cúcuta A.M.,2025,Componente: hacinamiento mitigable,11.6204,1.5775,8.5285,14.7122,1.731,807,13.58,ACEPTABLE,
Cúcuta A.M.,2025,Componente: alcantarillado o sanitario inadecuado,1.6952,0.8835,0.0,3.4268,3.346,807,52.11,NO PUBLICAR,
Cúcuta A.M.,2025,Componente: sin acueducto,2.0688,1.4559,0.0,4.9224,7.474,807,70.37,NO PUBLICAR,
Cúcuta A.M.,2025,Componente: lugar inadecuado para cocinar,2.5494,0.6102,1.3534,3.7455,1.071,807,23.94,PRECAUCION,
Cúcuta A.M.,2025,Componente: sin recoleccion de basuras,0.4156,0.4143,0.0,1.2277,2.963,807,99.7,NO PUBLICAR,
Cúcuta A.M.,2025,Paredes en material inadecuado,8.6766,2.1696,4.4241,12.929,4.244,807,25.01,NO PUBLICAR,
Cúcuta A.M.,2025,"Pisos de tierra, arena o barro",1.9354,0.9179,0.1364,3.7345,3.171,807,47.43,NO PUBLICAR,
Cúcuta A.M.,2025,Hogares en estrato 1 o 2,73.8933,4.7694,64.5453,83.2414,8.424,807,6.45,ACEPTABLE,
Cúcuta A.M.,2025,Hogares en estrato 3,18.0639,4.1162,9.9962,26.1316,8.178,807,22.79,PRECAUCION,
Cúcuta A.M.,2025,"Hogares en estrato 4, 5 o 6",8.0428,2.7048,2.7413,13.3442,7.067,807,33.63,NO PUBLICAR,
Cúcuta A.M.,2025,Hogares sin estrato o no informa,0.0,,0.0,0.4199,,807,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.42%
Ibagué,2025,Deficit habitacional total,7.3187,2.0861,3.2299,11.4075,3.875,676,28.5,NO PUBLICAR,
Ibagué,2025,Deficit habitacional cuantitativo,0.9439,0.5754,0.0,2.0717,2.139,676,60.96,NO PUBLICAR,
Ibagué,2025,Deficit habitacional cualitativo,6.3748,1.6231,3.1936,9.556,2.666,676,25.46,NO PUBLICAR,
Ibagué,2025,Componente: hacinamiento mitigable,4.9305,1.318,2.3472,7.5138,2.238,676,26.73,NO PUBLICAR,
Ibagué,2025,Componente: alcantarillado o sanitario inadecuado,0.0,,0.0,0.4967,,676,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.50%
Ibagué,2025,Componente: sin acueducto,0.1101,0.1101,0.0,0.3258,0.666,676,99.99,NO PUBLICAR,
Ibagué,2025,Componente: lugar inadecuado para cocinar,1.9342,0.7905,0.3849,3.4836,1.99,676,40.87,NO PUBLICAR,
Ibagué,2025,Componente: sin recoleccion de basuras,0.0,,0.0,0.4967,,676,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.50%
Ibagué,2025,Paredes en material inadecuado,0.8732,0.5726,0.0,1.9956,2.288,676,65.58,NO PUBLICAR,
Ibagué,2025,"Pisos de tierra, arena o barro",0.5253,0.5233,0.0,1.5509,3.165,676,99.61,NO PUBLICAR,
Ibagué,2025,Hogares en estrato 1 o 2,61.9175,5.7771,50.5944,73.2406,8.549,676,9.33,ACEPTABLE,
Ibagué,2025,Hogares en estrato 3,25.3861,4.8611,15.8584,34.9138,7.535,676,19.15,PRECAUCION,
