ciudad_nombre,area_hipotesis,area_confirmada,anio,mes,registros,hogares_unicos,duplicados_hogar,suma_fex_c18,suma_fex_c18_dedup,dif_fex_dedup,pct_dpto_esperado,pct_clase1,estado_geografico,observacion
Ibagué,73,73,2023,Octubre,569,569,0,191723.0,191723.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Octubre,714,714,0,111710.0,111710.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Octubre,670,670,0,185919.0,185919.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Octubre,502,502,0,136777.0,136777.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Octubre,739,739,0,299785.0,299785.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Octubre,614,614,0,118482.0,118482.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Octubre,657,657,0,112777.0,112777.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Octubre,636,636,0,150931.0,150931.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Octubre,585,585,0,79514.0,79514.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Octubre,579,579,0,149208.0,149208.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Octubre,687,687,0,106802.0,106802.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Octubre,630,630,0,62952.0,62952.0,0.0,100.0,100.0,VALIDO,
